DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,261.49,261.77,254.57,261.06,256,255.88,257.92,621.2,193,192768,49719090.14,6559,SPANDANA
2025-09-08,EQ,263.9,263.9,259.19,262.54,261.1,261.06,260.91,621.2,193,87646,22867527.43,3760,SPANDANA
2025-09-05,EQ,264,269.03,260.35,263.48,263,262.54,264.39,636.3,193,104178,27543642.58,5442,SPANDANA
2025-09-04,EQ,270,270.98,261,267.28,263,263.48,265.45,636.3,193,185950,49360511.3,6611,SPANDANA
2025-09-03,EQ,253.95,279.8,253.95,252.95,267.06,267.28,270.25,636.3,193,1484160,401098993.75,29540,SPANDANA
2025-09-02,EQ,247.2,256.8,246.01,247.19,253.2,252.95,252.63,636.3,193,283921,71727903.96,7116,SPANDANA
2025-09-01,EQ,244.4,251.01,244.16,243.15,248,247.19,246.7,636.3,193,255210,62960445.52,4315,SPANDANA
2025-08-29,EQ,241.1,246.6,241.1,242.7,244.1,243.15,243.82,636.3,193,70060,17082376.65,3554,SPANDANA
2025-08-28,EQ,243.4,246.9,240.8,247.1,242.85,242.7,243.09,636.3,193,92421,22467037.8,5115,SPANDANA
2025-08-26,EQ,249.9,251.55,245.25,249.9,247.1,247.1,247.21,636.3,193,103607,25612796.9,5638,SPANDANA
2025-08-25,EQ,251.9,254.5,247.95,248.55,250.9,249.9,250.72,636.3,193,260402,65288814.95,6745,SPANDANA
2025-08-22,EQ,242.5,249.75,242.5,245.55,248.95,248.55,246.8,638,193,118061,29137204,3757,SPANDANA
2025-08-21,EQ,246.5,248.7,244.45,246.45,245.3,245.55,246.35,638,193,79350,19548126.95,2839,SPANDANA
2025-08-20,EQ,245,248,242.1,245.1,245.6,246.45,245.07,638,193,105827,25935481.55,3606,SPANDANA
2025-08-19,EQ,242,248,240.1,242.4,244.95,245.1,243.31,638,193,102297,24889411.35,3438,SPANDANA
2025-08-18,EQ,242.55,243.8,238.05,239.85,242.8,242.4,241.13,638,193,177061,42694921.05,5142,SPANDANA
2025-08-14,EQ,247,248.6,238.75,246.65,239.95,239.85,243.07,638,193,173585,42194096.25,6335,SPANDANA
2025-08-13,EQ,246.3,248.9,244.55,245.25,248.65,246.65,246.18,638,193,68306,16815887.8,3006,SPANDANA
2025-08-12,EQ,245.05,250.5,244.1,247,246,245.25,247.93,638,193,108352,26863755.45,5005,SPANDANA
2025-08-11,EQ,246.6,249.4,242.45,244.65,248.1,247,245.65,638,193,142599,35029626.1,5537,SPANDANA
2025-08-08,EQ,251.05,260,242.55,253.2,244,244.65,248.54,647.3,193,171042,42510208,6085,SPANDANA
2025-08-07,EQ,242.1,255,242,242.1,253,253.2,248.91,647.3,193,258024,64224993.25,6658,SPANDANA
2025-08-06,EQ,249.8,251.5,234,251,242.5,242.1,242.13,647.3,193,417433,101072803.6,16534,SPANDANA
2025-08-05,EQ,258,259.3,250.2,255,251,251,253.21,647.3,193,151815,38440385.05,5486,SPANDANA
2025-08-04,EQ,258.05,259.7,253,259.5,256.95,255,255.87,647.3,193,233221,59674058.95,8181,SPANDANA
2025-08-01,EQ,267,271.4,257,270.2,259,259.5,263.97,690,193,313454,82741980.45,8480,SPANDANA
2025-07-31,EQ,270,273.75,268.55,271.75,269.9,270.2,271.04,690,193,83781,22707644.8,3692,SPANDANA
2025-07-30,EQ,271.95,276.8,269.25,269.25,271.95,271.75,272.44,690,193,106231,28941370.1,3498,SPANDANA
2025-07-29,EQ,269.05,274.05,265.65,271.25,272.75,269.25,269.18,690,193,326591,87911256.85,8354,SPANDANA
2025-07-28,EQ,275.9,277.7,269,273.75,271.8,271.25,273.51,690,193,167958,45937938.75,5323,SPANDANA
2025-07-25,EQ,286.1,286.45,270.75,286.45,274.05,273.75,277.75,722.7,193,305953,84979130.2,14596,SPANDANA
2025-07-24,EQ,289,289,284.15,306.65,285.9,286.45,286.32,722.7,193,424053,121413985.25,10860,SPANDANA
2025-07-23,EQ,308,309.65,295.6,304.2,306.25,306.65,301.95,722.7,193,463608,139987647.2,15480,SPANDANA
2025-07-22,EQ,309,310.5,300.65,305.2,305.1,304.2,306.18,722.7,193,325903,99783722.4,11370,SPANDANA
2025-07-21,EQ,306.95,310,294.75,306.25,305,305.2,302.29,722.7,193,456442,137978736.55,14579,SPANDANA
2025-07-18,EQ,306.8,309,305.1,306.5,305.6,306.25,305.98,741.7,193,218546,66871368,5841,SPANDANA
2025-07-17,EQ,306.6,309.45,303.15,305.45,306.8,306.5,306.87,741.7,193,316692,97182175.85,10109,SPANDANA
2025-07-16,EQ,312.4,314.7,304,318.45,305.05,305.45,308.74,741.7,193,711630,219707026.7,21880,SPANDANA
2025-07-15,EQ,300.3,321.6,296.2,294.7,319,318.45,314.25,741.7,193,2644580,831059826.85,55365,SPANDANA
2025-07-14,EQ,281.55,298.25,276,280.35,295.3,294.7,291.36,741.7,193,900503,262373188.6,19133,SPANDANA
2025-07-11,EQ,280.05,282.9,276.05,279.2,280,280.35,279.58,750,193,135916,37998765.65,3989,SPANDANA
2025-07-10,EQ,281,281.85,278,280.45,279.8,279.2,279.22,750,193,71961,20092614.25,3529,SPANDANA
2025-07-09,EQ,280.45,287,278,278.65,280.85,280.45,280.36,750,193,73754,20677665.7,2528,SPANDANA
2025-07-08,EQ,283.4,283.65,276,280.95,278.3,278.65,278.74,750,193,151887,42337179.25,6545,SPANDANA
2025-07-07,EQ,285.55,289.9,278,287.85,282,280.95,282.84,750,193,194038,54881099.05,9349,SPANDANA
2025-07-04,EQ,277.15,294.5,276.85,277.05,287.3,287.85,288.47,750,193,807588,232968447.2,18988,SPANDANA
2025-07-03,EQ,275.4,280.3,275.4,277.1,276.1,277.05,277.61,750,193,73850,20501641.8,3326,SPANDANA
2025-07-02,EQ,282.6,284,276,281.45,278.1,277.1,277.96,750,193,102850,28587782.1,6247,SPANDANA
2025-07-01,EQ,279.5,285.1,277.8,278.6,282.5,281.45,281.54,750,193,201320,56679086.85,6237,SPANDANA
2025-06-30,EQ,280,281.35,276.25,279.05,278,278.6,278.64,750,193,152770,42567548.05,6615,SPANDANA
2025-06-27,EQ,284,284,277.5,280.25,278,279.05,279.96,750.9,193,140605,39363977.55,5292,SPANDANA
2025-06-26,EQ,276.3,281.9,276.3,278.65,281.8,280.25,279.05,750.9,193,167491,46737570.15,5687,SPANDANA
2025-06-25,EQ,279,285.8,276,274.95,278,278.65,280.76,750.9,193,232135,65173609.35,8396,SPANDANA
2025-06-24,EQ,264,283.5,264,261.65,275.4,274.95,275.3,750.9,193,479555,132022574.9,13990,SPANDANA
2025-06-23,EQ,264,267.8,260,267.8,262.55,261.65,263.25,750.9,193,173386,45643709,8830,SPANDANA
2025-06-20,EQ,264.8,273.5,262.45,263.5,267.35,267.8,266.55,795,193,128866,34348762.15,5894,SPANDANA
2025-06-19,EQ,269.95,273,263,269.95,263.55,263.5,266.67,795,193,141142,37638925.8,7441,SPANDANA
2025-06-18,EQ,264,272.2,263.7,265.7,269.35,269.95,267.92,795,193,195713,52436251.15,6849,SPANDANA
2025-06-17,EQ,278,278,261,275.4,264.05,265.7,269.91,795,193,204083,55084412.55,8298,SPANDANA
2025-06-16,EQ,277,278,269.3,275.6,274.3,275.4,273.04,795,193,166066,45342937.05,6317,SPANDANA
2025-06-13,EQ,270,277.9,269.6,279.1,277,275.6,273.27,803,193,193602,52906579.4,8849,SPANDANA
2025-06-12,EQ,283,285.05,276.65,282.15,277.65,279.1,281.45,803,193,223999,63044699.15,10427,SPANDANA
2025-06-11,EQ,284.5,287.9,278.15,284.25,284.5,282.15,282.49,803,193,318742,90042210.7,12348,SPANDANA
2025-06-10,EQ,284.4,288.75,282,282.3,282.8,284.25,285.47,803,193,268551,76663399.95,7574,SPANDANA
2025-06-09,EQ,279,293.9,275.55,273.25,282,282.3,286.43,803,193,781997,223986491.15,20582,SPANDANA
2025-06-06,EQ,281,281,270.05,272.35,273.7,273.25,274.08,820,193,290142,79520915.4,8688,SPANDANA
2025-06-05,EQ,265.9,272.95,263.9,260.65,272.9,272.35,270.57,820,193,405994,109850617.65,13056,SPANDANA
2025-06-04,EQ,267.45,267.8,257,264.95,261.8,260.65,260.48,820,193,324631,84559968.35,12893,SPANDANA
2025-06-03,EQ,270.45,272.35,262.9,270.65,265.7,264.95,266.35,820,193,366337,97575446.65,11426,SPANDANA
2025-06-02,EQ,269.8,285.65,266.85,289.9,270.5,270.65,273.49,820,193,966552,264339016.15,31334,SPANDANA
2025-05-30,EQ,288,294.4,286.25,288.75,289.35,289.9,290.38,820,193,309399,89841972.65,12291,SPANDANA
2025-05-29,EQ,296,298.75,287.45,294.5,289.45,288.75,290.8,820,193,177542,51629088.7,10429,SPANDANA
2025-05-28,EQ,290.5,297.65,286.5,289.55,294.65,294.5,292.01,820,193,221876,64789993.3,10669,SPANDANA
2025-05-27,EQ,289.95,292,284,289.35,291.7,289.55,288.03,820,193,96663,27841819.25,5014,SPANDANA
2025-05-26,EQ,286.1,292,285.1,284.1,290.15,289.35,289.03,820,193,185864,53720177.25,9636,SPANDANA
2025-05-23,EQ,286,290,281.8,284.95,284.9,284.1,283.7,820,193,191910,54445241.5,11825,SPANDANA
2025-05-22,EQ,287,288.95,281.05,287,284.9,284.95,284.61,820,193,126302,35946779.2,8132,SPANDANA
2025-05-21,EQ,287,288.5,283.55,288.1,286.5,287,286.26,820,193,118703,33979330.05,6523,SPANDANA
2025-05-20,EQ,297,297.3,285,295.5,287,288.1,290.8,820,193,165164,48029624.95,10547,SPANDANA
2025-05-19,EQ,297.3,302.2,293.3,296.3,295.4,295.5,296.91,820,193,167786,49816928.15,7926,SPANDANA
2025-05-16,EQ,304,304,295.45,299.35,297.35,296.3,298.71,820,193,223301,66703226.65,10254,SPANDANA
2025-05-15,EQ,300,305.9,296.6,297.45,298.8,299.35,300.91,820,193,255976,77026937.05,12123,SPANDANA
2025-05-14,EQ,294.95,302.95,290.25,287.7,297,297.45,296.49,820,193,418821,124175533.55,17099,SPANDANA
2025-05-13,EQ,285,295,280.55,279.3,289.25,287.7,288.85,820,193,401937,116101385.9,18052,SPANDANA
2025-05-12,EQ,277,281,271.5,261.35,280.6,279.3,275.79,820,193,301051,83027878.9,9780,SPANDANA
2025-05-09,EQ,244.05,265.05,244.05,264.9,261.9,261.35,257.3,866,193,337595,86863013.1,14137,SPANDANA
2025-05-08,EQ,274.85,279.85,260,273.5,262.5,264.9,271.8,866,193,153063,41603179.65,7286,SPANDANA
2025-05-07,EQ,271,277.5,264.1,271.2,274,273.5,270.78,866,193,228731,61935539.6,10145,SPANDANA
2025-05-06,EQ,283,288.45,269.65,282.85,273.95,271.2,276.7,866,193,230568,63798804.8,14739,SPANDANA
2025-05-05,EQ,287,287.9,280.5,282.05,283,282.85,283.47,866,193,157413,44622415.4,8549,SPANDANA
2025-05-02,EQ,276,293.45,276,274.78,282,282.05,285.08,935.6,193,530662,151282468.15,13380,SPANDANA
