DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1074.2,1086,1068.1,1074.2,1082.3,1083.5,1077.36,1234.3,882.9,779147,839419265.2,27860,TATACONSUM
2025-09-08,EQ,1072.4,1081.3,1068.7,1072.4,1077.8,1074.2,1076.48,1234.3,882.9,600835,646785639.5,30846,TATACONSUM
2025-09-05,EQ,1074,1077.5,1061.2,1071.1,1075,1072.4,1071.18,1234.3,882.9,1130356,1210812217.5,34386,TATACONSUM
2025-09-04,EQ,1126,1126,1067.2,1104.4,1074,1071.1,1085.14,1234.3,882.9,2407789,2612790847,107106,TATACONSUM
2025-09-03,EQ,1102.9,1106.6,1086.5,1100.8,1105,1104.4,1097.25,1234.3,882.9,1244093,1365076889.8,48855,TATACONSUM
2025-09-02,EQ,1077,1105.6,1074.1,1075.7,1105.5,1100.8,1094.03,1234.3,882.9,1649975,1805126023.3,76076,TATACONSUM
2025-09-01,EQ,1059.1,1077,1057,1065.4,1075,1075.7,1069.09,1234.3,882.9,807324,863098819.9,42486,TATACONSUM
2025-08-29,EQ,1065,1077.5,1055.2,1062.4,1062,1065.4,1065.6,1234.3,882.9,1079893,1150736040.5,51358,TATACONSUM
2025-08-28,EQ,1081.5,1085.2,1060,1079.9,1060.2,1062.4,1066.77,1234.3,882.9,641975,684842123,45554,TATACONSUM
2025-08-26,EQ,1074.1,1091.8,1070.1,1081.6,1081.3,1079.9,1081.95,1234.3,882.9,1201357,1299804529.1,47913,TATACONSUM
2025-08-25,EQ,1085,1091.3,1079.1,1084.1,1081.8,1081.6,1085.18,1234.3,882.9,444715,482596065.8,32836,TATACONSUM
2025-08-22,EQ,1087.2,1091.7,1080,1088.1,1085.5,1084.1,1085.82,1234.3,882.9,394813,428696247.4,27052,TATACONSUM
2025-08-21,EQ,1104,1104,1086.5,1105.3,1088,1088.1,1091.47,1234.3,882.9,614098,670271685,28982,TATACONSUM
2025-08-20,EQ,1086,1106.9,1078.9,1085.8,1105.3,1105.3,1097.56,1234.3,882.9,871108,956094081.9,43537,TATACONSUM
2025-08-19,EQ,1076.7,1092.9,1069,1071.3,1091.4,1085.8,1081.53,1234.3,882.9,667231,721631350.5,30288,TATACONSUM
2025-08-18,EQ,1061,1090,1059,1051.2,1073,1071.3,1076.63,1234.3,882.9,1099268,1183503198.4,42078,TATACONSUM
2025-08-14,EQ,1057.2,1059.4,1045.4,1056.1,1045.4,1051.2,1052.88,1234.3,882.9,767620,808213852.1,31648,TATACONSUM
2025-08-13,EQ,1047.8,1058.7,1043.2,1046.8,1057.5,1056.1,1051.8,1234.3,882.9,501792,527786680.5,30458,TATACONSUM
2025-08-12,EQ,1055.8,1062.9,1045,1059.1,1047.7,1046.8,1052.88,1234.3,882.9,651741,686205881.5,28784,TATACONSUM
2025-08-11,EQ,1048,1062.9,1037.7,1051,1055.3,1059.1,1056.27,1234.3,882.9,617689,652449035.6,49920,TATACONSUM
2025-08-08,EQ,1052,1062,1043,1052.8,1047.9,1051,1054.58,1234.3,882.9,843741,889789874.3,48237,TATACONSUM
2025-08-07,EQ,1051,1056.5,1038.7,1052.8,1052.2,1052.8,1047.22,1234.3,882.9,600790,629161225.2,36426,TATACONSUM
2025-08-06,EQ,1061,1067.3,1050.6,1064.6,1052.6,1052.8,1058.76,1234.3,882.9,598309,633463926.2,34086,TATACONSUM
2025-08-05,EQ,1072.6,1073,1059.1,1072.6,1065.5,1064.6,1063.96,1234.3,882.9,861402,916496059.2,46355,TATACONSUM
2025-08-04,EQ,1070.4,1075.6,1060,1070.4,1075,1072.6,1068.08,1234.3,882.9,663828,709018577.1,34604,TATACONSUM
2025-08-01,EQ,1067.1,1089.9,1067,1073.2,1069,1070.4,1076.17,1234.3,882.9,1040166,1119397786.6,45936,TATACONSUM
2025-07-31,EQ,1068.7,1079.7,1054.5,1073.1,1072.8,1073.2,1071.97,1234.3,882.9,1114320,1194513037.1,52828,TATACONSUM
2025-07-30,EQ,1056,1083,1056,1061.6,1076,1073.1,1075.61,1234.3,882.9,1175543,1264423424.6,44453,TATACONSUM
2025-07-29,EQ,1059.9,1076.2,1054,1059.9,1061.6,1061.6,1063.03,1234.3,882.9,944513,1004048744.5,42237,TATACONSUM
2025-07-28,EQ,1048,1071,1044.4,1054.4,1063,1059.9,1062.03,1234.3,882.9,1219854,1295523999.5,58839,TATACONSUM
2025-07-25,EQ,1078,1079.8,1050,1072.8,1053,1054.4,1059.95,1262.6,882.9,1180451,1251222516.3,50778,TATACONSUM
2025-07-24,EQ,1084,1104.5,1065.5,1062.6,1073,1072.8,1079.22,1262.6,882.9,6264546,6760796731.2,207826,TATACONSUM
2025-07-23,EQ,1085,1087,1051,1084.8,1064,1062.6,1062.85,1262.6,882.9,1508414,1603216965,51345,TATACONSUM
2025-07-22,EQ,1089.9,1090.3,1075.3,1090.3,1083,1084.8,1083.48,1262.6,882.9,961735,1042019754.5,26785,TATACONSUM
2025-07-21,EQ,1095.8,1095.8,1077,1095.9,1089.8,1090.3,1086.45,1262.6,882.9,805610,875255102,37515,TATACONSUM
2025-07-18,EQ,1106,1108.3,1093.5,1105.8,1097.9,1095.9,1098.62,1262.6,882.9,844437,927717001.9,27784,TATACONSUM
2025-07-17,EQ,1081.5,1109.7,1080,1081.5,1103.2,1105.8,1100.52,1262.6,882.9,1193262,1313212104.1,46152,TATACONSUM
