DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,5489,5681.5,5475.5,5469.5,5571,5553.5,5590.9,8142.15,4700,401718,2245965309.5,54062,TATAELXSI
2025-09-08,EQ,5480,5500,5448.5,5451,5471,5469.5,5475.38,8142.15,4700,67959,372101129.5,11118,TATAELXSI
2025-09-05,EQ,5438,5486.5,5360,5428,5472.5,5451,5434.85,8142.15,4700,129172,702030326.5,19681,TATAELXSI
2025-09-04,EQ,5473,5493,5366.5,5427.5,5430,5428,5423.54,8142.15,4700,149976,813400691.5,17775,TATAELXSI
2025-09-03,EQ,5449,5474.5,5394,5425.5,5419,5427.5,5434.91,8142.15,4700,102124,555034937.5,15929,TATAELXSI
2025-09-02,EQ,5395,5439,5304.5,5357,5412.5,5425.5,5395.37,8142.15,4700,162068,874416955.5,27661,TATAELXSI
2025-09-01,EQ,5274.5,5384,5251,5234,5358,5357,5341.93,8142.15,4700,162133,866102735.5,30959,TATAELXSI
2025-08-29,EQ,5338,5343,5221,5338,5240,5234,5272.37,9080,4700,201277,1061207479,47316,TATAELXSI
2025-08-28,EQ,5490,5490,5320,5478.5,5338,5338,5388.8,9080,4700,146049,787029020.5,32840,TATAELXSI
2025-08-26,EQ,5540,5579.5,5455,5546.5,5464,5478.5,5500.01,9080,4700,156243,859337454.5,25480,TATAELXSI
2025-08-25,EQ,5600,5638,5525.5,5579.5,5540,5546.5,5569.72,9080,4700,149309,831609504,28963,TATAELXSI
2025-08-22,EQ,5659,5659,5555.5,5659,5575,5579.5,5583.71,9080,4700,163567,913309981.5,26411,TATAELXSI
2025-08-21,EQ,5760,5770,5650,5745.5,5654,5659,5687.71,9080,4700,124725,709399856,21116,TATAELXSI
2025-08-20,EQ,5744.5,5824.5,5690.5,5726.5,5745,5745.5,5752.81,9080,4700,136215,783618556,22651,TATAELXSI
2025-08-19,EQ,5692,5744,5617,5677.5,5743,5726.5,5686.92,9080,4700,90475,514523701,17246,TATAELXSI
2025-08-18,EQ,5725,5800,5663.5,5681.5,5687,5677.5,5725.83,9080,4700,120374,689240575.5,21386,TATAELXSI
2025-08-14,EQ,5694.5,5767.5,5665,5671,5679,5681.5,5702.42,9080,4700,88786,506294669,17550,TATAELXSI
2025-08-13,EQ,5639.5,5733,5581.5,5617.5,5684,5671,5662.47,9080,4700,114397,647769163.5,23457,TATAELXSI
2025-08-12,EQ,5683,5730,5611,5676.5,5616,5617.5,5662.32,9080,4700,92704,524919987.5,18107,TATAELXSI
2025-08-11,EQ,5759.5,5769.5,5665,5759.5,5670,5676.5,5697,9080,4700,101170,576365079,21325,TATAELXSI
2025-08-08,EQ,5850,5871,5735,5865,5735,5759.5,5811.33,9080,4700,66575,386889074,13505,TATAELXSI
2025-08-07,EQ,5805,5892,5733,5816,5889.5,5865,5796.41,9080,4700,107906,625467621,21882,TATAELXSI
2025-08-06,EQ,5968.5,5972,5800,5961.5,5802,5816,5865.57,9080,4700,120782,708455216.5,23736,TATAELXSI
2025-08-05,EQ,6036,6055,5941.5,6031,5958,5961.5,5981.44,9080,4700,86273,516036509.5,15840,TATAELXSI
2025-08-04,EQ,6022,6078,5973,6054.5,6027,6031,6018.68,9080,4700,145412,875188238,23962,TATAELXSI
