DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,383.5,385.65,381.15,383.25,385,384.65,383.37,494.85,326.35,3129390,1199713162.45,36254,TATAPOWER
2025-09-08,EQ,385.8,387.8,382.6,385.8,383.45,383.25,385.45,494.85,326.35,2978303,1147986419.35,45588,TATAPOWER
2025-09-05,EQ,382.6,386.5,380.1,382.6,385.75,385.8,383.47,494.85,326.35,3358057,1287730008.75,35972,TATAPOWER
2025-09-04,EQ,390.05,392,381.75,389.15,382.5,382.6,385.68,494.85,326.35,4114491,1586864602.95,45123,TATAPOWER
2025-09-03,EQ,386.05,389.7,385.7,386.05,389,389.15,388.11,494.85,326.35,2628692,1020221920.8,30539,TATAPOWER
2025-09-02,EQ,380.9,388.4,380,380.55,385.95,386.05,385.68,494.85,326.35,3362410,1296814031.8,36215,TATAPOWER
2025-09-01,EQ,374.15,381,374.15,374.15,380.9,380.55,378.56,494.85,326.35,2169911,821445387.8,34527,TATAPOWER
2025-08-29,EQ,371.1,375,368.5,371.1,374.45,374.15,373.59,494.85,326.35,5793121,2164259063.05,46080,TATAPOWER
2025-08-28,EQ,377.75,378.5,370.25,377.75,371.5,371.1,373.92,494.85,326.35,5704659,2133067863.3,56098,TATAPOWER
2025-08-26,EQ,382.15,383.6,376.6,383.25,378.45,377.75,380.04,494.85,326.35,5561286,2113533211.05,57332,TATAPOWER
2025-08-25,EQ,386.05,388.4,382.4,385.6,383,383.25,385.71,494.85,326.35,4216691,1626411460.15,41196,TATAPOWER
2025-08-22,EQ,387,388.7,384.7,388.05,385.6,385.6,386.28,494.85,326.35,3042678,1175334352.65,34019,TATAPOWER
2025-08-21,EQ,390.1,392.3,386.8,390.55,387.45,388.05,389.05,494.85,326.35,2551655,992715697.35,28074,TATAPOWER
2025-08-20,EQ,388.95,392.45,388.05,389.15,390.05,390.55,391.18,494.85,326.35,3045301,1191271697.3,31553,TATAPOWER
2025-08-19,EQ,387.35,389.65,386.5,387.3,389.4,389.15,388.6,494.85,326.35,2047149,795526895.35,28448,TATAPOWER
2025-08-18,EQ,389,390,385.3,385.3,387.1,387.3,387.59,494.85,326.35,3712118,1438770059.45,41924,TATAPOWER
2025-08-14,EQ,387.2,388.6,383.15,387.2,384.3,385.3,385.19,494.85,326.35,2662149,1025428091.75,33484,TATAPOWER
2025-08-13,EQ,385.5,388.95,384.4,384.45,387.1,387.2,386.85,494.85,326.35,3757839,1453711845.6,33736,TATAPOWER
2025-08-12,EQ,384.1,388.95,383.5,384.3,384.1,384.45,385.86,494.85,326.35,2575426,993766393.15,33796,TATAPOWER
2025-08-11,EQ,380,385.9,377.5,378.8,383.65,384.3,382.94,494.85,326.35,3328976,1274788604.6,41067,TATAPOWER
2025-08-08,EQ,385.55,387.1,376,385.55,377.6,378.8,381.59,494.85,326.35,3495353,1333781146.05,39860,TATAPOWER
2025-08-07,EQ,383,386.75,379,385.55,386.5,385.55,382.48,494.85,326.35,5333971,2040119529.65,54139,TATAPOWER
