DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,44.6,47.76,44.32,44.17,47.64,47.47,46.96,51.87,30.88,40337694,1894128245.61,87339,UJJIVANSFB
2025-09-08,EQ,42.59,44.44,42.33,42.57,44.15,44.17,43.78,51.87,30.88,7551535,330618041.56,24200,UJJIVANSFB
2025-09-05,EQ,43.17,43.35,42.37,43.11,42.62,42.57,42.72,51.87,30.88,3168699,135374826.17,15582,UJJIVANSFB
2025-09-04,EQ,43.11,43.59,42.9,43.05,43.16,43.11,43.17,51.87,30.88,3725813,160841647.16,15259,UJJIVANSFB
2025-09-03,EQ,43.29,43.6,42.87,43.07,43.11,43.05,43.26,51.87,30.88,5892128,254872546.7,24597,UJJIVANSFB
2025-09-02,EQ,43.31,43.57,42.83,43.31,43.02,43.07,43.15,51.87,30.88,4247703,183293602.59,22494,UJJIVANSFB
2025-09-01,EQ,42.68,44.5,42,42.68,43.45,43.31,42.77,51.87,30.88,6878286,294209123.14,47288,UJJIVANSFB
2025-08-29,EQ,42.43,43.37,42.1,42.43,42.68,42.68,42.78,51.87,30.88,5456068,233401273.49,23188,UJJIVANSFB
2025-08-28,EQ,42.6,42.8,41.95,42.79,42.55,42.43,42.32,51.87,30.88,6287161,266102945.53,24672,UJJIVANSFB
2025-08-26,EQ,43.5,43.62,42.27,43.75,42.4,42.79,43.06,51.87,30.88,6795556,292604985.55,28119,UJJIVANSFB
2025-08-25,EQ,43.55,44.22,43.03,43.71,43.63,43.75,43.82,51.87,30.88,4119001,180512935.39,18917,UJJIVANSFB
2025-08-22,EQ,43.7,44.21,43.43,43.82,43.65,43.71,43.68,51.87,30.88,3089662,134948775.31,10790,UJJIVANSFB
2025-08-21,EQ,43.58,44.49,43.55,43.68,43.68,43.82,43.97,51.87,30.88,3877018,170457357.99,15488,UJJIVANSFB
2025-08-20,EQ,42.96,43.86,42.77,42.96,43.75,43.68,43.55,51.87,30.88,5937277,258579462.58,27013,UJJIVANSFB
2025-08-19,EQ,43.26,43.3,42.77,43.11,43,42.96,42.95,51.87,30.88,2607554,112000996.71,17504,UJJIVANSFB
2025-08-18,EQ,42,43.36,41.78,41.67,43.3,43.11,42.79,51.87,30.88,9966652,426428308.65,35671,UJJIVANSFB
2025-08-14,EQ,42.73,42.9,41.32,42.72,41.61,41.67,41.89,51.87,30.88,8839812,370268152.53,35550,UJJIVANSFB
2025-08-13,EQ,43.29,43.8,42.65,43.17,42.65,42.72,43.03,51.87,30.88,7421855,319340810.25,42275,UJJIVANSFB
2025-08-12,EQ,43,43.59,43,42.79,43.05,43.17,43.28,51.87,30.88,2813093,121759058.29,21921,UJJIVANSFB
2025-08-11,EQ,44,44.1,42.43,44.1,42.9,42.79,42.87,51.87,30.88,5771792,247450664.27,24966,UJJIVANSFB
2025-08-08,EQ,44.1,44.99,43.92,43.24,44.05,44.1,44.33,51.87,30.88,8952581,396850389.53,36838,UJJIVANSFB
2025-08-07,EQ,42.91,43.54,42.37,43.07,43.51,43.24,42.96,51.87,30.88,4032894,173234241.64,21370,UJJIVANSFB
2025-08-06,EQ,43.99,44.07,43,43.99,43.2,43.07,43.37,51.87,30.88,4210375,182611320.93,39675,UJJIVANSFB
2025-08-05,EQ,43.95,44.38,43.73,43.95,43.95,43.99,43.98,51.87,30.88,4412292,194072790.26,29610,UJJIVANSFB
