DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,476,478.65,471.45,474.05,476,474.5,474.61,1589.3,419.55,3649613,1732136207.55,35626,VBL
2025-09-08,EQ,469.7,477.9,469.25,469.65,475,474.05,474.09,1589.3,419.55,6635305,3145724843.35,62055,VBL
2025-09-05,EQ,490.75,492.95,468.5,489.5,469.5,469.65,477.86,1589.3,419.55,13613187,6505217818.95,200096,VBL
2025-09-04,EQ,496,513.65,488.1,505.25,490.75,489.5,497.9,1589.3,419.55,15790199,7861871777.6,173762,VBL
2025-09-03,EQ,499.2,509.5,498,499.2,505.5,505.25,505.18,1589.3,419.55,3994499,2017949960.3,42693,VBL
2025-09-02,EQ,495.35,500.3,493.35,495.35,498.1,499.2,498.54,1589.3,419.55,3742278,1865679439.1,45533,VBL
2025-09-01,EQ,485,496.9,480.85,487.15,496,495.35,486.97,1589.3,419.55,5901966,2874072819.5,81527,VBL
2025-08-29,EQ,495.1,499.4,483.9,497.7,485.95,487.15,490.06,1589.85,419.55,5493941,2692382883.5,77334,VBL
2025-08-28,EQ,516.9,517,495.25,508.55,496.9,497.7,502.54,1589.85,419.55,5319711,2673354821.3,74726,VBL
2025-08-26,EQ,512,516.2,507.35,516,507.5,508.55,509.6,1589.85,419.55,4566054,2326876565.4,57359,VBL
2025-08-25,EQ,516.6,518.85,512.85,516.6,516.25,516,516.81,1589.85,419.55,2932412,1515511035.95,65350,VBL
2025-08-22,EQ,515,523.2,506.1,517.25,516.55,516.6,515.19,1609.45,419.55,5460288,2813096236.8,96206,VBL
2025-08-21,EQ,520.25,522.5,515.1,517.65,516,517.25,517.96,1609.45,419.55,3262937,1690083545.3,48359,VBL
2025-08-20,EQ,504.9,524.55,504.8,505.4,517.55,517.65,517.63,1609.45,419.55,6226154,3222857485.55,99033,VBL
2025-08-19,EQ,500.4,510.8,498.6,499.8,505.55,505.4,505.46,1609.45,419.55,6495179,3283030831.6,80686,VBL
2025-08-18,EQ,505,508.8,493.25,501.85,499.5,499.8,498.89,1609.45,419.55,8750521,4365534739.45,86545,VBL
2025-08-14,EQ,510.85,510.85,499.45,511.1,502.9,501.85,502.01,1609.45,419.55,5002148,2511128642.1,46599,VBL
2025-08-13,EQ,514,520,510.05,514.25,510.5,511.1,515.75,1609.45,419.55,6969613,3594579892.7,43421,VBL
2025-08-12,EQ,512.75,517.4,508.15,510.75,513,514.25,513.5,1609.45,419.55,3513096,1803982059.8,51097,VBL
2025-08-11,EQ,495.95,512,492.5,495.95,511.65,510.75,504.11,1609.45,419.55,6605020,3329688828.25,79352,VBL
2025-08-08,EQ,504.2,507.15,494.65,502.7,496,495.95,499.54,1609.45,419.55,2571658,1284635535.7,45309,VBL
2025-08-07,EQ,495,504.25,491.4,499.2,503,502.7,497.91,1609.45,419.55,4385680,2183661213.7,67910,VBL
2025-08-06,EQ,506,507.95,497.25,508.1,498.05,499.2,501.36,1609.45,419.55,3191536,1600101901.95,45913,VBL
2025-08-05,EQ,511,512.9,504.65,508.6,508.55,508.1,507.41,1609.45,419.55,2223010,1127984710.1,50048,VBL
2025-08-04,EQ,510,511.55,503.05,511.9,509.4,508.6,507.66,1609.45,419.55,3691631,1874101424.75,64178,VBL
2025-08-01,EQ,522.6,524.2,510.1,522.6,512.7,511.9,515.37,1702.8,419.55,4418258,2277052379.4,67339,VBL
2025-07-31,EQ,512.05,525,512,522.1,521,522.6,519.99,1702.8,419.55,6593398,3428493937.95,103401,VBL
2025-07-30,EQ,515,534.2,515,512.15,519.6,522.1,524.31,1702.8,419.55,25521111,13381026153.55,284770,VBL
