DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,146.96,149.3,143.2,146.06,143.4,143.81,147.05,159.7,75,1764015,259404847.02,11483,VINCOFE
2025-09-08,EQ,146.21,148.3,145,145.97,146.44,146.06,146.8,159.7,75,468685,68803802.72,4657,VINCOFE
2025-09-05,EQ,146.99,148.37,144.63,146.73,146.13,145.97,146.38,159.7,75,869556,127286591.71,8919,VINCOFE
2025-09-04,EQ,149.97,150.7,145.95,148.25,146.35,146.73,147.33,159.7,75,2430696,358120614.02,12035,VINCOFE
2025-09-03,EQ,149.85,149.85,143.53,148.58,148,148.25,147.3,159.7,75,1921404,283018246.43,13572,VINCOFE
2025-09-02,EQ,149,152.7,147.66,147.47,148.68,148.58,150.41,159.7,75,3896615,586083284.68,18337,VINCOFE
2025-09-01,EQ,146.23,150.4,145.72,146.23,147.46,147.47,148.02,159.7,75,1103620,163356298.78,10025,VINCOFE
2025-08-29,EQ,147.69,149.24,145.1,147.69,146,146.23,146.76,159.7,75,1200082,176128481.69,9374,VINCOFE
2025-08-28,EQ,152,152.4,147.05,153.18,147.4,147.69,149.32,159.7,75,953805,142418656.74,8284,VINCOFE
2025-08-26,EQ,151.25,154.4,147,150.8,152,153.18,151.9,159.7,75,2249811,341753318.56,14750,VINCOFE
2025-08-25,EQ,155,155.68,150,155.23,151.9,150.8,152.84,159.7,75,1735934,265314116.79,13764,VINCOFE
2025-08-22,EQ,157.79,159.7,153.06,156.9,153.5,155.23,156.44,159.7,75,1664585,260405146.29,13787,VINCOFE
2025-08-21,EQ,154.5,159,152.73,152.06,157.5,156.9,156.73,159,75,4163871,652600825.86,26781,VINCOFE
2025-08-20,EQ,147.09,155,145.96,146.44,154.51,152.06,150.45,156.9,75,3244315,488120495.14,19703,VINCOFE
2025-08-19,EQ,148.38,150.1,145.75,147.57,146.61,146.44,147.36,156.9,75,1106269,163021655.2,7511,VINCOFE
2025-08-18,EQ,147.99,150.7,147,147.47,148.57,147.57,148.44,156.9,75,1092097,162113546.87,9156,VINCOFE
2025-08-14,EQ,148.05,149.3,144.74,148.05,147.06,147.47,146.77,156.9,75,627485,92093022.16,6470,VINCOFE
2025-08-13,EQ,148,150.49,146.01,148.73,148.47,148.05,148.05,156.9,75,1617686,239505540.42,9954,VINCOFE
2025-08-12,EQ,148,149.52,146.02,148.17,148.75,148.73,148.05,156.9,75,637539,94385662.83,6241,VINCOFE
2025-08-11,EQ,143.36,148.9,142,142.36,148,148.17,146.8,156.9,75,1268110,186161552.2,8358,VINCOFE
2025-08-08,EQ,148.14,148.14,141.55,147.17,142.6,142.36,144.39,156.9,75,618716,89337392.5,6193,VINCOFE
2025-08-07,EQ,143.5,149.61,143.5,145.12,147.64,147.17,146.92,156.9,75,1161672,170678349.69,9228,VINCOFE
2025-08-06,EQ,148.45,149.7,143.26,148.01,145,145.12,145.33,156.9,75,1218512,177085269.51,11551,VINCOFE
2025-08-05,EQ,151.29,152.76,147.51,150.84,148.42,148.01,149.19,156.9,75,877833,130962819.91,8054,VINCOFE
2025-08-04,EQ,155.15,155.15,150.05,153.75,150.36,150.84,151.99,156.9,75,712517,108297216.13,7415,VINCOFE
2025-08-01,EQ,155.7,156.7,152.7,154.89,153.7,153.75,154.85,156.9,75,2860502,442948349.15,21083,VINCOFE
2025-07-31,EQ,150,156,147.8,153.27,155.38,154.89,154.02,156.9,75,3107633,478631831.58,16611,VINCOFE
2025-07-30,EQ,154.35,155.2,151.35,153.59,152.95,153.27,153.13,156.9,75,905191,138612557.37,7941,VINCOFE
2025-07-29,EQ,151.6,154.53,149.41,151.58,153.85,153.59,151.91,156.9,75,1645360,249953473.53,12519,VINCOFE
2025-07-28,EQ,144.8,153.4,144.65,146.65,151.85,151.58,150.36,156.9,75,2682901,403402491.61,21228,VINCOFE
2025-07-25,EQ,154.4,154.56,146,152.4,146.81,146.65,148.83,156.9,75,1733835,258045153.55,14473,VINCOFE
2025-07-24,EQ,151.69,155.99,149.49,150.97,152.45,152.4,153.39,156.9,75,2607622,399971386.05,22135,VINCOFE
2025-07-23,EQ,149.45,151.8,147.51,148.07,151.33,150.97,149.75,156.9,75,1714476,256735919.98,14613,VINCOFE
2025-07-22,EQ,149.9,156.9,147,146.55,149.99,148.07,151.89,156.9,75,12593535,1912798502.71,75123,VINCOFE
2025-07-21,EQ,146,148.93,142.31,141.98,148.93,146.55,146.1,148.93,75,7014702,1024844210.09,41725,VINCOFE
2025-07-18,EQ,143.25,145,136.1,142.66,136.2,141.98,142.33,148.7,75,1338867,190556669.14,10523,VINCOFE
2025-07-17,EQ,145.52,147.7,141.9,145.42,142.67,142.66,145.08,148.7,75,1133407,164435057.92,10511,VINCOFE
2025-07-16,EQ,145.94,148.7,144.35,143.61,145.15,145.42,146.23,148.7,75,2982886,436194755.16,22304,VINCOFE
2025-07-15,EQ,136.38,146.9,136.2,135.13,144.35,143.61,142.1,146.9,75,4647725,660447182.8,29439,VINCOFE
2025-07-14,EQ,134.6,136.49,132.05,134.69,136,135.13,134.1,143,75,1095866,146957844.4,7899,VINCOFE
