DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1019,1062.8,1009,1012.8,1043.5,1039.1,1039.83,1272,841.15,482795,502025156.4,38246,WAAREERTL
2025-09-08,EQ,1010.1,1027.3,1010.1,1016.2,1016.5,1012.8,1017.84,1272,841.15,132956,135327938.9,12667,WAAREERTL
2025-09-05,EQ,1024,1026.9,1005.5,1016,1023,1016.2,1012.62,1272,841.15,125841,127429489.8,11848,WAAREERTL
2025-09-04,EQ,1031.6,1040,1011.1,1026.5,1025,1016,1023.78,1272,841.15,127325,130353320.5,11647,WAAREERTL
2025-09-03,EQ,1027.9,1036.2,1021.1,1020.3,1028.2,1026.5,1027.97,1272,841.15,120886,124267359.7,10921,WAAREERTL
2025-09-02,EQ,1042.8,1045,1016.6,1038.6,1020.5,1020.3,1029.79,1272,841.15,178641,183962305.3,12220,WAAREERTL
2025-09-01,EQ,1025.1,1044.3,1025.1,1023.6,1040,1038.6,1035.92,1272,841.15,182062,188601646.6,12898,WAAREERTL
2025-08-29,EQ,1033,1039.1,1020,1037.5,1020,1023.6,1028.85,1272,841.15,126586,130237642.5,10945,WAAREERTL
2025-08-28,EQ,1020,1051,1018.6,1024.6,1033.3,1037.5,1034.61,1272,841.15,257940,266867123.6,20059,WAAREERTL
2025-08-26,EQ,1042.4,1044,1020,1044.6,1023,1024.6,1025.47,1272,841.15,188422,193221961.1,13677,WAAREERTL
2025-08-25,EQ,1080,1082.7,1040.1,1065.9,1045,1044.6,1056.27,1272,841.15,182194,192446389.7,15127,WAAREERTL
2025-08-22,EQ,1028.7,1075,1026.4,1026.6,1071,1065.9,1053.76,1272,841.15,490070,516416228.7,33777,WAAREERTL
2025-08-21,EQ,1027.9,1053,1019.5,1025.8,1030,1026.6,1033.86,1272,841.15,191126,197598193.8,14929,WAAREERTL
2025-08-20,EQ,1034,1035,1015.8,1032.1,1028.1,1025.8,1024.88,1272,841.15,127893,131075137.8,10353,WAAREERTL
2025-08-19,EQ,1011,1039,1007.4,1010.9,1036.9,1032.1,1028.45,1272,841.15,288676,296890259,18462,WAAREERTL
2025-08-18,EQ,1018,1024.9,1001.6,997.1,1010,1010.9,1013.93,1272,841.15,150579,152676438.6,10799,WAAREERTL
2025-08-14,EQ,999,1011.5,992,1004.3,998.3,997.1,999.16,1272,841.15,153463,153333452.6,12235,WAAREERTL
2025-08-13,EQ,1008,1014.9,996.3,1003.1,1005,1004.3,1002.16,1272,841.15,190057,190467260,11901,WAAREERTL
2025-08-12,EQ,1012.8,1016,993,1005.7,1003.1,1003.1,1008.43,1272,841.15,153456,154749024.3,10731,WAAREERTL
2025-08-11,EQ,1003.8,1011.6,987.4,998.6,1007.5,1005.7,1002.53,1272,841.15,202296,202807214.4,16243,WAAREERTL
2025-08-08,EQ,1033,1039.2,992,1026.9,996,998.6,1011.21,1272,841.15,205305,207605459.2,15138,WAAREERTL
2025-08-07,EQ,1020.1,1034.1,1006,1034,1033.5,1026.9,1020.54,1272,841.15,227841,232520395,16854,WAAREERTL
2025-08-06,EQ,1028,1046.7,1009.5,1027.4,1035,1034,1031.39,1272,841.15,354710,365843088.5,20642,WAAREERTL
2025-08-05,EQ,1037,1051.7,1023,1035,1027.9,1027.4,1032.72,1272,841.15,187002,193121621.5,14232,WAAREERTL
2025-08-04,EQ,1046.4,1053.5,1031,1044.3,1036.7,1035,1040.11,1272,841.15,201387,209465439.4,14646,WAAREERTL
2025-08-01,EQ,1051.2,1061.7,1035.9,1046.1,1040.5,1044.3,1050.67,1272,841.15,231304,243023772.9,16282,WAAREERTL
2025-07-31,EQ,1031,1070.1,1025.7,1061.5,1050.4,1046.1,1048.13,1272,841.15,371762,389654103.1,24440,WAAREERTL
2025-07-30,EQ,1094.2,1097,1054.1,1085,1062,1061.5,1069.03,1272,841.15,332451,355401013.8,21225,WAAREERTL
2025-07-29,EQ,1058,1097,1040.8,1041.7,1091.9,1085,1065.49,1272,841.15,554595,590915497.7,29707,WAAREERTL
2025-07-28,EQ,1059.1,1080,1033.3,1054.1,1041.8,1041.7,1057.08,1272,841.15,485954,513691923.2,31355,WAAREERTL
2025-07-25,EQ,1095,1098,1050,1092.9,1054,1054.1,1069.61,1272,841.15,431240,461257032.6,24413,WAAREERTL
2025-07-24,EQ,1128.5,1128.5,1086.1,1120,1093,1092.9,1102.48,1272,841.15,479302,528420294.3,24386,WAAREERTL
2025-07-23,EQ,1111.9,1132.1,1076.7,1100.6,1119.5,1120,1105,1272,841.15,1056293,1167199615.4,41223,WAAREERTL
2025-07-22,EQ,1112.7,1146,1080,1111.4,1101,1100.6,1120.69,1272,841.15,1014542,1136982228,36797,WAAREERTL
2025-07-21,EQ,1187.9,1193.6,1103.2,1186.1,1111,1111.4,1125.28,1272,841.15,1493248,1680323126.7,64876,WAAREERTL
2025-07-18,EQ,1202,1240,1181.1,1184.3,1185.4,1186.1,1206.53,1272,841.15,3861434,4658927501,126533,WAAREERTL
