DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,1363,1380.9,1345.1,1363,1369,1371.2,1370.17,2449.7,899,67927,93071704.5,11806,WHIRLPOOL
2025-09-08,EQ,1357,1382.4,1351.1,1357,1351.1,1363,1364.85,2449.7,899,71309,97325966.6,10458,WHIRLPOOL
2025-09-05,EQ,1351.9,1380,1336.2,1349.4,1350,1357,1359.71,2449.7,899,102297,139094602.2,15561,WHIRLPOOL
2025-09-04,EQ,1390,1399.8,1340.1,1344.9,1350.9,1349.4,1370.73,2449.7,899,143633,196882620.3,18218,WHIRLPOOL
2025-09-03,EQ,1340.2,1359.5,1332.1,1333.7,1342,1344.9,1346.56,2449.7,899,58914,79330994.1,7344,WHIRLPOOL
2025-09-02,EQ,1317,1349.8,1302.9,1316.7,1330.2,1333.7,1332.38,2449.7,899,149266,198878886.3,12163,WHIRLPOOL
2025-09-01,EQ,1299.8,1323.5,1286.2,1300.6,1315,1316.7,1302.67,2449.7,899,73760,96084862.7,8527,WHIRLPOOL
2025-08-29,EQ,1302,1316,1285.1,1301.6,1300,1300.6,1303.88,2449.7,899,63439,82717031.1,7947,WHIRLPOOL
2025-08-28,EQ,1286.9,1307.1,1267,1285,1300,1301.6,1296.11,2449.7,899,65921,85441070.2,7122,WHIRLPOOL
2025-08-26,EQ,1309,1309.5,1275,1309,1285.2,1285,1282.1,2449.7,899,159609,204634710.5,11654,WHIRLPOOL
2025-08-25,EQ,1302,1315,1300.5,1301,1303.1,1309,1308.03,2449.7,899,77875,101862785.6,12095,WHIRLPOOL
2025-08-22,EQ,1313,1316,1295,1316.1,1301,1301,1301.24,2449.7,899,83710,108926584.5,10966,WHIRLPOOL
2025-08-21,EQ,1300,1327,1298.6,1298.1,1311,1316.1,1318.21,2449.7,899,126166,166313499.6,17057,WHIRLPOOL
2025-08-20,EQ,1289.9,1324.3,1285.9,1285.2,1300,1298.1,1301.14,2449.7,899,115121,149788015.9,13314,WHIRLPOOL
2025-08-19,EQ,1310,1310,1278,1299.9,1290,1285.2,1286.41,2449.7,899,233411,300261907.3,12148,WHIRLPOOL
2025-08-18,EQ,1289.8,1335.9,1282.4,1240.7,1299,1299.9,1303.78,2449.7,899,910775,1187447328.7,55599,WHIRLPOOL
2025-08-14,EQ,1235,1259,1223.1,1241.3,1240,1240.7,1234.75,2449.7,899,134694,166312746.2,19339,WHIRLPOOL
2025-08-13,EQ,1255,1263.8,1232.6,1243.1,1233.1,1241.3,1247.7,2449.7,899,77359,96520479.4,14276,WHIRLPOOL
2025-08-12,EQ,1274.1,1288.8,1237,1262,1240.6,1243.1,1262.34,2449.7,899,121014,152760536.3,14982,WHIRLPOOL
2025-08-11,EQ,1257.2,1270.6,1248.8,1264.6,1261.5,1262,1259.38,2449.7,899,81614,102783291.3,7418,WHIRLPOOL
2025-08-08,EQ,1295,1303.7,1257,1294.7,1270,1264.6,1280.96,2449.7,899,89083,114111672.5,10712,WHIRLPOOL
2025-08-07,EQ,1320,1332.8,1259.2,1326.8,1293,1294.7,1295.21,2449.7,899,123257,159643490.3,14107,WHIRLPOOL
2025-08-06,EQ,1315.2,1345.6,1310.1,1317.2,1328,1326.8,1322.97,2449.7,899,67935,89875740,8920,WHIRLPOOL
2025-08-05,EQ,1337,1338.9,1311,1337,1322,1317.2,1317.45,2449.7,899,66910,88150338,9463,WHIRLPOOL
2025-08-04,EQ,1319.9,1343.9,1311,1315.6,1334.4,1337,1323.48,2449.7,899,340338,450429044.4,16771,WHIRLPOOL
2025-08-01,EQ,1325,1345.7,1311,1334.6,1325,1315.6,1327.05,2449.7,899,45471,60342226.4,5988,WHIRLPOOL
2025-07-31,EQ,1349.4,1369.9,1322.7,1384,1336,1334.6,1339.37,2449.7,899,219175,293556104.3,21282,WHIRLPOOL
2025-07-30,EQ,1399,1401,1372.6,1389.9,1382.9,1384,1385.17,2449.7,899,195464,270750897.8,11481,WHIRLPOOL
2025-07-29,EQ,1379.7,1399.1,1341.6,1379.7,1385,1389.9,1385.54,2449.7,899,273836,379411216.4,25950,WHIRLPOOL
2025-07-28,EQ,1380,1388.7,1352.5,1399,1380,1379.7,1375.44,2449.7,899,251012,345251288.9,22679,WHIRLPOOL
2025-07-25,EQ,1410.8,1431.5,1388,1410.8,1409,1399,1403.81,2449.7,899,205070,287879977.8,10063,WHIRLPOOL
2025-07-24,EQ,1435,1446.9,1404,1445.4,1417.4,1410.8,1421.11,2449.7,899,87717,124655230.7,12457,WHIRLPOOL
2025-07-23,EQ,1450,1473.8,1416.4,1435.1,1441,1445.4,1451.1,2449.7,899,530848,770315822.4,44788,WHIRLPOOL
2025-07-22,EQ,1432.8,1460,1420,1432.5,1429,1435.1,1438.67,2449.7,899,344515,495643323,30458,WHIRLPOOL
2025-07-21,EQ,1442.1,1442.1,1418.3,1444.7,1429,1432.5,1429.6,2449.7,899,278285,397835877.4,19325,WHIRLPOOL
2025-07-18,EQ,1405,1462,1392.4,1404.8,1442.1,1444.7,1434.63,2449.7,899,586408,841277624.9,36228,WHIRLPOOL
2025-07-17,EQ,1381.9,1410,1363,1374.2,1402.3,1404.8,1397.21,2449.7,899,273855,382631765.1,18644,WHIRLPOOL
2025-07-16,EQ,1383.8,1388.9,1354.9,1383.8,1375,1374.2,1367.31,2449.7,899,93481,127817861.7,9040,WHIRLPOOL
2025-07-15,EQ,1377.2,1402.9,1365.4,1384.4,1385,1383.8,1390.13,2449.7,899,165918,230648059,14737,WHIRLPOOL
2025-07-14,EQ,1375.9,1391.3,1364.9,1372.5,1377,1384.4,1384.72,2449.7,899,206209,285541086.9,30338,WHIRLPOOL
