DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2025-09-09,EQ,329,329.65,323.75,329.65,325.7,325.7,325.8,334.4,194.8,19658627,6404762184.25,139532,ETERNAL
2025-09-08,EQ,331,332.2,328.2,329.15,329.3,329.65,330.26,334.4,194.8,17188065,5676444800.7,130710,ETERNAL
2025-09-05,EQ,327.55,334.4,326.3,326.25,329.5,329.15,331.42,334.4,194.8,31645035,10487939049.7,205337,ETERNAL
2025-09-04,EQ,328,329,322.8,326.1,327.55,326.25,324.92,331.35,194.8,43285629,14064454736.65,144633,ETERNAL
2025-09-03,EQ,325.1,328.75,322,322.4,326.3,326.1,324.87,331.35,194.8,46674039,15162971207.95,162424,ETERNAL
2025-09-02,EQ,322.85,327.4,320.45,321.1,322.85,322.4,323.31,331.35,194.8,48878436,15803081169.5,197634,ETERNAL
2025-09-01,EQ,313.95,322.5,313.95,313.95,321.35,321.1,318.4,331.35,194.8,47888390,15247702043.6,155088,ETERNAL
2025-08-29,EQ,315.55,316.75,307.75,315.5,315.6,313.95,311.9,331.35,194.8,62441100,19475662912.05,179189,ETERNAL
2025-08-28,EQ,321.2,323.1,313.25,317.9,315.95,315.5,317.72,331.35,194.8,44020764,13986485895.3,257665,ETERNAL
2025-08-26,EQ,317.3,321.5,315.05,319.25,320.75,317.9,317.96,331.35,194.8,438503024,139426436539.85,272966,ETERNAL
2025-08-25,EQ,320,323.8,316.55,319.1,320.5,319.25,320.21,331.35,194.8,20880241,6686016775.5,122997,ETERNAL
2025-08-22,EQ,321.8,324,318.25,321.8,318.75,319.1,320.92,331.35,194.8,22869858,7339310268.1,125211,ETERNAL
2025-08-21,EQ,324.6,325.9,321,326.55,321.5,321.8,322.88,331.35,194.8,22056606,7121582462.55,151032,ETERNAL
2025-08-20,EQ,322.4,331.35,320.35,321.45,325.25,326.55,327.28,331.35,194.8,55734714,18240824012.1,302030,ETERNAL
2025-08-19,EQ,316.5,321.9,311.7,314.9,321,321.45,317.88,323.7,194.8,36592945,11632310624.4,215187,ETERNAL
2025-08-18,EQ,318.4,323.7,313.65,318.4,314.1,314.9,317.73,323.7,194.8,42357084,13458052026.55,230331,ETERNAL
2025-08-14,EQ,313,319.8,310.65,312.35,317.7,318.4,316.21,319.8,194.8,45892250,14511601763.8,179541,ETERNAL
2025-08-13,EQ,305.9,314,305.55,305.9,312.9,312.35,311.27,314.45,194.8,28119116,8752511767.7,144822,ETERNAL
2025-08-12,EQ,309.4,310,304.55,309.4,305.3,305.9,306.57,314.45,194.8,20834370,6387153974.3,130692,ETERNAL
2025-08-11,EQ,300.9,310.4,299.5,300.9,309,309.4,305.31,314.45,194.8,44948318,13723244767.75,182343,ETERNAL
2025-08-08,EQ,300.35,302.4,298.1,301.75,300.3,300.9,300.72,314.45,194.8,28458176,8557939942.5,128642,ETERNAL
2025-08-07,EQ,291.55,303.2,288.4,298.85,303.2,301.75,293.08,314.45,194.8,391548871,114753895390.8,458929,ETERNAL
2025-08-06,EQ,302,302.5,295.45,302.15,300.05,298.85,298.65,314.45,194.8,22012280,6574035465.95,153111,ETERNAL
2025-08-05,EQ,306.9,307.6,301.7,305.25,301.95,302.15,303.43,314.45,194.8,14820256,4496974491.95,120231,ETERNAL
2025-08-04,EQ,303,307,300.45,304.75,305.95,305.25,304.17,314.45,194.8,21862121,6649829152.3,114728,ETERNAL
2025-08-01,EQ,309.8,310.45,303.95,307.8,304.6,304.75,305.92,314.45,194.8,16415906,5021915689.95,115059,ETERNAL
2025-07-31,EQ,300,311.15,299.3,303.45,308.85,307.8,307.57,314.45,194.8,32474675,9988133417.8,237848,ETERNAL
2025-07-30,EQ,306.55,308.15,301.8,306.55,304.15,303.45,304.42,314.45,194.8,21677387,6599128398.45,143435,ETERNAL
2025-07-29,EQ,305,307.2,300,307.3,306.4,306.55,303.94,314.45,194.8,23521231,7149094333.7,149552,ETERNAL
2025-07-28,EQ,310,312.25,306.6,310.55,307.05,307.3,309.17,314.45,194.8,24882879,7692972748.25,246142,ETERNAL
2025-07-25,EQ,309.95,314.15,306.3,313.15,310.5,310.55,310.42,314.45,194.8,50941177,15813414351.65,303907,ETERNAL
2025-07-24,EQ,302.25,314.45,302,302.05,312.45,313.15,311.13,314.45,194.8,120603751,37523099125.65,422495,ETERNAL
2025-07-23,EQ,298,303.55,296.3,299.8,302.25,302.05,300.82,311.25,194.8,68915203,20730770838.1,362344,ETERNAL
2025-07-22,EQ,293,311.25,289.65,271.7,299.75,299.8,301.15,311.25,194.8,269332774,81108764916.6,1071490,ETERNAL
2025-07-21,EQ,257,277,256.65,257.2,276.5,271.7,268.62,304.7,194.8,67508530,18133871244.75,267311,ETERNAL
2025-07-18,EQ,259.95,260.2,256.75,259.65,257.7,257.2,257.71,304.7,194.8,13584890,3500976555.3,108322,ETERNAL
2025-07-17,EQ,263,263.7,258.6,262.35,259.75,259.65,260.36,304.7,194.8,17544857,4567999037.25,125930,ETERNAL
2025-07-16,EQ,263.15,266.95,261.25,266.45,262.1,262.35,262.85,304.7,194.8,17828906,4686240954.35,191778,ETERNAL
2025-07-15,EQ,271.9,272.4,265.15,270.6,266.9,266.45,267.52,304.7,194.8,35090527,9387474947.75,158239,ETERNAL
2025-07-14,EQ,264.95,277.75,262.3,263.35,271,270.6,271.02,304.7,194.8,50184664,13601281570.55,252843,ETERNAL
2025-07-11,EQ,260,264.95,260,262.85,263.1,263.35,263.18,304.7,194.8,16528109,4349862467.5,122088,ETERNAL
2025-07-10,EQ,265.1,267.25,262.25,264.55,262.35,262.85,264.31,304.7,194.8,17136740,4529422663.25,100241,ETERNAL
2025-07-09,EQ,263.65,265.45,261.8,263.5,264,264.55,264.12,304.7,194.8,18477582,4880287242.45,119450,ETERNAL
2025-07-08,EQ,259.65,264.2,259.5,258.55,263.65,263.5,262.78,304.7,194.8,18312891,4812288025.9,106972,ETERNAL
2025-07-07,EQ,261.4,261.55,256.2,261.4,259.2,258.55,257.95,304.7,194.8,25446186,6563899460.05,148010,ETERNAL
2025-07-04,EQ,262.1,263.7,259.65,260.85,261.2,261.4,262.19,304.7,194.56,13076740,3428649601.65,104021,ETERNAL
2025-07-03,EQ,260.1,264.3,260,259.75,260.6,260.85,261.83,304.7,194.56,19402947,5080183199.55,149943,ETERNAL
2025-07-02,EQ,260.5,261.85,257.6,261,260,259.75,259.53,304.7,194.56,14940247,3877508649.4,97408,ETERNAL
2025-07-01,EQ,264.75,264.85,259.6,264.15,260.85,261,261.54,304.7,194.56,17220730,4503889586.25,146126,ETERNAL
2025-06-30,EQ,262,265.19,262,261.86,263.95,264.15,264.04,304.7,194.56,21588949,5700362540.31,202463,ETERNAL
2025-06-27,EQ,266.49,266.49,261,265.18,263.01,261.86,262.2,304.7,191.95,61545458,16137265010.54,241193,ETERNAL
2025-06-26,EQ,259.42,266.25,258.95,258.86,265.2,265.18,263.39,304.7,191.95,47100081,12405641802.34,235956,ETERNAL
2025-06-25,EQ,256.11,259.42,255.1,255.07,258.6,258.86,258.14,304.7,191.95,26412599,6818196863.49,151870,ETERNAL
2025-06-24,EQ,257,260,254.22,254.64,255.07,255.07,257.19,304.7,191.95,35638629,9165851891.72,199324,ETERNAL
2025-06-23,EQ,250.15,255.8,250.05,253.33,254.5,254.64,253.88,304.7,191.95,21523144,5464308213.7,137482,ETERNAL
2025-06-20,EQ,249.01,254.15,249.01,249.42,253,253.33,252.26,304.7,184.8,50201710,12664109713.42,196519,ETERNAL
2025-06-19,EQ,247.99,254.8,247.21,248.41,248.25,249.42,250.26,304.7,184.8,32347921,8095501336.45,185404,ETERNAL
2025-06-18,EQ,247.3,250.21,247.16,247.25,247.87,248.41,248.68,304.7,184.8,17297196,4301485975.26,127500,ETERNAL
2025-06-17,EQ,251.3,252,246.85,252.15,246.96,247.25,248.68,304.7,184.8,20651969,5135680091.09,128623,ETERNAL
2025-06-16,EQ,249,253.52,248.71,249.08,252.5,252.15,250.95,304.7,184.8,26481959,6645698708.8,166559,ETERNAL
2025-06-13,EQ,243.26,250.24,243.26,251.56,249.5,249.08,248.46,304.7,179.33,30512913,7581305375.25,148350,ETERNAL
2025-06-12,EQ,257.07,257.1,250.35,257.07,251,251.56,253.33,304.7,179.33,24298795,6155542669.01,193599,ETERNAL
2025-06-11,EQ,255.68,260.19,255.3,255.68,257.1,257.07,257.67,304.7,179.33,40554764,10449829999.15,175660,ETERNAL
2025-06-10,EQ,256.8,256.8,252.35,256.84,255.3,255.68,255.01,304.7,179.33,36662941,9349580606.65,189051,ETERNAL
2025-06-09,EQ,261.9,262.98,255.35,261.86,256.99,256.84,258.97,304.7,179.33,33660854,8717187542.18,269951,ETERNAL
2025-06-06,EQ,256.56,264,256.01,256.56,261.9,261.86,260.78,304.7,146.3,66234457,17272787135.68,386010,ETERNAL
2025-06-05,EQ,248,260.22,247.99,245.68,256.8,256.56,256.57,304.7,146.3,127795264,32788697450.43,456005,ETERNAL
2025-06-04,EQ,237.1,248,237.1,237.7,245.33,245.68,243.19,304.7,146.3,70626622,17175538040.66,224934,ETERNAL
